Sno,Customer_number,Insurance,housing,loan,contact,duration,campaign,last_contact_day,previous,poutcome,Term Deposit,Count_Txn,age,job,marital,education,Gender
0,1001,no,yes,no,,261.0,1,2,0,unknown,2.0,351.0,58,management,married,tertiary,M
1,1002,no,yes,no,unknown,151.0,1,2,0,unknown,2.0,326.0,44,technician,single,secondary,M
2,1003,no,yes,yes,unknown,76.0,1,2,0,,2.0,422.0,33,entrepreneur,married,,F
3,1004,no,yes,no,unknown,92.0,1,2,0,unknown,2.0,113.0,47,blue collar,married,unknown,F
4,1005,no,no,no,unknown,198.0,1,2,0,unknown,2.0,342.0,33,unknown,single,unknown,M
5,1006,no,yes,no,unknown,139.0,1,2,0,unknown,2.0,490.0,35,management,married,ter tiary,M
6,1007,no,yes,yes,unknown,217.0,1,2,0,unknown,2.0,411.0,28,management,single,ter tiary,M
8,1009,no,yes,no,unknown,50.0,1,2,0,pending,2.0,328.0,58,retired,married,primary,F
9,1010,no,yes,no,unknown,55.0,1,2,0,pending,2.0,124.0,43,technician,single,secondary,M
10,1011,no,yes,no,unknown,222.0,1,2,0,pending,2.0,326.0,41,admin.,divorced,,F
11,1012,no,yes,no,unknown,137.0,1,3,0,pending,2.0,470.0,29,admin.,single,secondary,M
12,1013,no,yes,no,unknown,517.0,1,3,0,pending,2.0,273.0,53,technician,married,secondary,F
13,1014,no,yes,no,unknown,71.0,1,3,0,pending,2.0,277.0,58,technician,married,unknown,F
14,1015,no,yes,no,unknown,174.0,1,3,0,pending,2.0,186.0,57,services,married,secondary,M
15,1016,no,yes,no,,353.0,1,3,0,,2.0,-152.0,51,retired,married,primary,F
16,1017,no,yes,no,unknown,98.0,1,3,0,pending,2.0,370.0,45,admin.,single,unknown,M
17,1018,no,yes,no,unknown,38.0,1,3,0,pending,2.0,-270.0,57,blue-collar,married,primary,F
18,1019,no,yes,no,unknown,219.0,1,3,0,pending,2.0,0.0,60,retired,married,primary,F
19,1020,no,yes,no,unknown,54.0,1,3,0,pending,2.0,482.0,33,services,married,secondary,F
20,1021,no,yes,yes,unknown,262.0,1,3,0,pending,2.0,295.0,28,blue-collar,married,secondary,M
21,1022,no,yes,no,unknown,164.0,1,3,0,pending,2.0,447.0,56,management,married,tertiary,M
22,1023,no,yes,yes,unknown,160.0,1,3,0,pending,2.0,-423.0,32,blue-collar,single,primary,F
24,1025,no,yes,yes,unknown,181.0,1,3,0,pending,2.0,383.0,40,retired,married,primary,M
25,1026,no,yes,no,unknown,172.0,1,3,0,pending,2.0,144.0,44,admin.,married,secondary,F
26,1027,no,yes,no,unknown,296.0,1,3,0,pending,2.0,261.0,39,management,single,tertiary,M
27,1028,no,yes,yes,unknown,127.0,1,3,0,pending,2.0,421.0,52,entrepreneur,married,secondary,F
28,1029,no,yes,no,unknown,255.0,2,3,0,pending,2.0,389.0,46,management,single,secondary,F
29,1030,no,yes,yes,unknown,348.0,1,3,0,pending,2.0,294.0,36,technician,single,secondary,M
30,1031,no,no,yes,unknown,225.0,1,3,0,pending,2.0,369.0,57,technician,married,secondary,M
31,1032,no,yes,no,unknown,230.0,1,3,0,pending,2.0,451.0,49,management,married,tertiary,M
32,1033,no,yes,yes,unknown,208.0,1,3,0,pending,2.0,294.0,60,admin.,married,secondary,F
33,1034,no,yes,no,unknown,226.0,1,3,0,pending,2.0,156.0,59,blue-collar,married,secondary,M
34,1035,no,yes,no,unknown,336.0,1,1,0,pending,2.0,122.0,51,management,married,tertiary,F
35,1036,no,yes,no,unknown,242.0,1,1,0,pending,2.0,387.0,57,technician,divorced,,M
36,1037,no,yes,no,unknown,365.0,1,1,0,pending,2.0,362.0,25,blue-collar,married,secondary,M
37,1038,no,no,no,unknown,1666.0,1,1,0,pending,2.0,223.0,53,technician,married,secondary,M
38,1039,no,yes,no,unknown,577.0,1,1,0,pending,2.0,460.0,36,admin.,divorced,secondary,F
39,1040,no,yes,no,unknown,137.0,1,1,0,,2.0,219.0,37,admin.,single,secondary,F
40,1041,no,yes,no,unknown,160.0,1,1,0,pending,2.0,283.0,44,services,divorced,secondary,M
41,1042,no,yes,no,unknown,180.0,2,1,0,pending,2.0,381.0,50,management,married,secondary,M
42,1043,no,yes,no,unknown,22.0,1,1,0,pending,2.0,-119.0,60,blue collar,married,unknown,M
43,1044,no,yes,no,unknown,1492.0,1,1,0,pending,2.0,353.0,54,retired,married,secondary,M
44,1045,no,yes,no,unknown,616.0,1,1,0,pending,2.0,365.0,58,retired,married,unknown,F
45,1046,no,yes,no,unknown,242.0,1,1,0,pending,2.0,105.0,36,admin.,single,primary,M
46,1047,no,yes,no,unknown,355.0,1,1,0,pending,2.0,350.0,58,self-employed,married,tertiary,F
47,1048,no,yes,no,unknown,225.0,2,1,0,pending,2.0,474.0,44,technician,married,secondary,F
48,1049,no,no,no,unknown,160.0,1,1,0,pending,2.0,146.0,55,technician,divorced,secondary,M
49,1050,no,yes,no,unknown,363.0,1,1,0,pending,2.0,366.0,29,management,single,tertiary,F
50,1051,no,yes,no,unknown,266.0,1,1,0,pending,2.0,391.0,54,blue-collar,married,secondary,M
51,1052,no,yes,no,unknown,253.0,1,1,0,pending,2.0,458.0,48,management,divorced,tertiary,M
52,1053,no,yes,no,unknown,179.0,1,1,0,pending,2.0,392.0,32,management,married,tertiary,M
53,1054,no,yes,no,unknown,787.0,1,1,0,pending,2.0,362.0,42,admin.,single,secondary,M
54,1055,no,yes,yes,unknown,,1,1,0,pending,2.0,446.0,24,technician,single,secondary,F
55,1056,no,no,yes,unknown,174.0,1,1,0,pending,2.0,409.0,38,entrepreneur,single,tertiary,M
56,1057,no,yes,no,unknown,104.0,1,1,0,pending,2.0,275.0,38,management,single,tertiary,M
57,1058,no,yes,no,unknown,13.0,1,1,0,pending,2.0,343.0,47,blue-collar,married,unknown,M
58,1059,no,yes,no,unknown,185.0,1,1,0,pending,2.0,140.0,40,blue collar,single,unknown,F
59,1060,no,yes,no,unknown,1778.0,1,1,0,pending,2.0,226.0,46,services,married,primary,M
60,1061,no,yes,no,unknown,138.0,1,1,0,pending,2.0,346.0,32,admin.,married,tertiary,M
61,1062,no,yes,no,unknown,812.0,1,1,0,pending,2.0,165.0,53,technician,divorced,secondary,M
62,1063,no,yes,no,unknown,164.0,1,1,0,pending,2.0,479.0,57,blue-collar,married,primary,F
63,1064,no,yes,no,unknown,391.0,1,1,0,pending,2.0,257.0,33,services,married,secondary,F
64,1065,no,yes,no,unknown,357.0,1,1,0,unknown,2.0,276.0,49,blue-collar,married,unknown,M
65,1066,no,yes,no,unknown,91.0,1,1,0,unknown,2.0,489.0,51,management,married,tertiary,F
66,1067,no,no,no,unknown,528.0,1,1,0,unknown,2.0,101.0,60,retired,married,tertiary,F
67,1068,no,yes,no,unknown,273.0,1,1,0,unknown,2.0,196.0,59,management,divorced,tertiary,M
68,1069,no,yes,no,unknown,158.0,2,1,0,unknown,2.0,418.0,55,technician,married,secondary,F
69,1070,no,yes,yes,unknown,177.0,1,-2,0,,2.0,481.0,35,blue-collar,single,secondary,M
